gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Churn,Young,RevenuePerUser,TotalRevenue,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_DSL,InternetService_Fiber optic,InternetService_No,ChurnProbabilities
0,0,1,1,9,1,0,1,0,1,1,0,1,0,0,73.5,661.5,0,1,0,0,0,0,1,0,1,0,0.30984110228049155
1,0,0,0,9,1,0,0,0,0,0,1,0,0,0,71.2,640.8000000000001,1,0,0,0,0,0,1,0,1,0,0.5536418414077896
1,0,0,0,4,1,0,0,1,0,0,0,1,1,0,58.5,234.0,1,0,0,0,0,1,0,1,0,0,0.8612506862136324
1,1,0,0,13,1,0,1,1,0,1,1,1,1,0,82.0,1066.0,1,0,0,0,0,1,0,1,0,0,0.880490903001114
0,1,0,0,3,1,0,0,0,1,1,0,1,1,0,68.0,204.0,1,0,0,0,0,0,1,1,0,0,0.8283787898004489
0,0,0,1,9,1,0,0,0,1,1,1,1,0,0,78.0,702.0,1,0,0,0,1,0,0,0,1,0,0.5855267971888498
0,1,0,0,71,1,1,1,1,1,1,1,1,0,0,90.5,6425.5,0,0,1,1,0,0,0,1,0,0,0.17559701260052468
1,0,1,0,63,1,1,0,0,1,0,0,1,0,0,63.5,4000.5,0,0,1,0,1,0,0,1,0,0,0.05723016578963158
0,1,0,0,7,1,1,0,0,0,0,0,1,0,0,58.5,409.5,1,0,0,0,0,1,0,0,1,0,0.6753249251212746
0,0,1,1,65,1,1,1,1,1,1,1,1,0,0,90.5,5882.5,0,0,1,0,0,0,1,0,1,0,0.05708413551353589
1,0,0,0,54,0,1,0,0,1,1,0,0,0,0,61.7,3331.8,0,0,1,0,1,0,0,0,1,0,0.041043349010416584
0,0,1,1,72,1,1,1,1,1,1,1,1,0,0,90.5,6516.0,0,0,1,0,1,0,0,1,0,0,0.12032380270649881
0,0,1,0,5,1,0,0,0,0,0,0,1,0,0,55.0,275.0,1,0,0,0,0,1,0,1,0,0,0.8671819756433782
0,0,0,0,72,1,1,1,1,0,1,0,1,0,0,75.5,5436.0,0,0,1,1,0,0,0,1,0,0,0.0992877514407517
0,0,0,0,56,0,1,1,1,1,0,0,0,0,0,60.7,3399.2000000000003,0,0,1,1,0,0,0,0,1,0,0.026066553187787132
0,0,1,1,71,1,0,1,1,0,0,1,1,0,0,77.0,5467.0,0,0,1,0,1,0,0,1,0,0,0.12360150439578645
0,0,1,1,34,0,1,0,1,1,1,1,0,0,0,80.2,2726.8,0,1,0,0,0,0,1,0,1,0,0.19285809201874446
0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,55.0,55.0,1,0,0,0,0,1,0,1,0,0,0.9069485513115368
1,1,0,0,45,1,1,0,1,0,0,1,0,1,0,78.2,3519.0,0,1,0,0,1,0,0,0,1,0,0.16706772692896368
1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,40.0,40.0,1,0,0,0,0,1,0,0,1,0,0.8678028697826273
0,1,0,0,50,1,0,0,0,0,0,0,0,0,0,23.2,1160.0,0,1,0,0,0,1,0,0,0,1,0.03575666821545076
0,0,1,0,13,1,0,1,1,0,1,0,0,1,0,75.2,977.6,1,0,0,0,0,1,0,1,0,0,0.7711989950694937
